date,description,debit,credit,balance
2024-01-03,Salary Credit,0,55000,55000
2024-01-05,Grocery Store,3200,0,51800
2024-01-08,Restaurant Dinner,1800,0,50000
2024-01-10,Uber Ride,950,0,49050
2024-01-15,Shopping Mall,6200,0,42850
2024-01-20,Electricity Bill,2100,0,40750
2024-01-25,Freelance Payment,0,18000,58750
2024-01-28,Movie Tickets,1200,0,57550

2024-02-03,Salary Credit,0,55000,112550
2024-02-06,Grocery Store,3400,0,109150
2024-02-09,Online Shopping,8900,0,100250
2024-02-12,Flight Booking,14500,0,85750
2024-02-18,Restaurant Dinner,2200,0,83550
2024-02-22,Internet Bill,1200,0,82350
2024-02-26,Freelance Payment,0,20000,102350

2024-03-03,Salary Credit,0,55000,157350
2024-03-05,Grocery Store,3600,0,153750
2024-03-08,Shopping Mall,12400,0,141350
2024-03-11,Taxi Ride,1300,0,140050
2024-03-15,Restaurant Dinner,2500,0,137550
2024-03-20,Mobile Bill,1500,0,136050
2024-03-27,Freelance Payment,0,22000,158050

2024-04-03,Salary Credit,0,60000,218050
2024-04-05,Grocery Store,4100,0,213950
2024-04-09,Online Shopping,9600,0,204350
2024-04-12,Train Ticket,2800,0,201550
2024-04-16,Restaurant Dinner,2700,0,198850
2024-04-20,Electricity Bill,2300,0,196550
2024-04-25,Freelance Payment,0,25000,221550

2024-05-03,Salary Credit,0,60000,281550
2024-05-06,Grocery Store,3900,0,277650
2024-05-09,Shopping Mall,14200,0,263450
2024-05-13,Taxi Ride,1100,0,262350
2024-05-18,Restaurant Dinner,2900,0,259450
2024-05-22,Internet Bill,1400,0,258050
2024-05-28,Freelance Payment,0,30000,288050
