date,description,debit,credit,balance
2024-01-03_v0,Salary Credit_v0,192,55347,55909
2024-01-05_v0,Grocery Store_v0,2727,349,52409
2024-01-08_v0,Restaurant Dinner_v0,1293,112,50721
2024-01-10_v0,Uber Ride_v0,1558,732,49947
2024-01-15_v0,Shopping Mall_v0,6758,326,42216
2024-01-20_v0,Electricity Bill_v0,1399,478,41538
2024-01-25_v0,Freelance Payment_v0,-534,18375,58224
2024-01-28_v0,Movie Tickets_v0,1299,235,56996
2024-02-03_v0,Salary Credit_v0,-640,54121,112657
2024-02-06_v0,Grocery Store_v0,3687,-969,108246
2024-02-09_v0,Online Shopping_v0,8574,-550,100829
2024-02-12_v0,Flight Booking_v0,13933,616,85550
2024-02-18_v0,Restaurant Dinner_v0,1807,588,84112
2024-02-22_v0,Internet Bill_v0,787,262,82872
2024-02-26_v0,Freelance Payment_v0,-275,19972,102254
2024-03-03_v0,Salary Credit_v0,71,55074,157962
2024-03-05_v0,Grocery Store_v0,3431,-868,154540
2024-03-08_v0,Shopping Mall_v0,12711,-270,141512
2024-03-11_v0,Taxi Ride_v0,1030,343,139858
2024-03-15_v0,Restaurant Dinner_v0,1904,231,136584
2024-03-20_v0,Mobile Bill_v0,624,585,136390
2024-03-27_v0,Freelance Payment_v0,652,22831,158723
2024-04-03_v0,Salary Credit_v0,-195,59942,217808
2024-04-05_v0,Grocery Store_v0,3779,-352,213788
2024-04-09_v0,Online Shopping_v0,9819,-566,204460
2024-04-12_v0,Train Ticket_v0,2926,517,201004
2024-04-16_v0,Restaurant Dinner_v0,2472,-494,197869
2024-04-20_v0,Electricity Bill_v0,2238,295,196630
2024-04-25_v0,Freelance Payment_v0,-125,25769,222040
2024-05-03_v0,Salary Credit_v0,-949,60517,281959
2024-05-06_v0,Grocery Store_v0,3259,-608,276974
2024-05-09_v0,Shopping Mall_v0,14774,-241,264154
2024-05-13_v0,Taxi Ride_v0,1669,425,261431
2024-05-18_v0,Restaurant Dinner_v0,3494,-82,259535
2024-05-22_v0,Internet Bill_v0,1292,-240,258528
2024-05-28_v0,Freelance Payment_v0,-745,29506,288067
2024-01-03_v1,Salary Credit_v1,149,55172,54841
2024-01-05_v1,Grocery Store_v1,2685,11,51291
2024-01-08_v1,Restaurant Dinner_v1,1409,-594,50614
2024-01-10_v1,Uber Ride_v1,1888,-813,48528
2024-01-15_v1,Shopping Mall_v1,6698,-311,42472
2024-01-20_v1,Electricity Bill_v1,1955,-132,40357
2024-01-25_v1,Freelance Payment_v1,-82,17762,58550
2024-01-28_v1,Movie Tickets_v1,499,-233,58461
2024-02-03_v1,Salary Credit_v1,-180,54539,113358
2024-02-06_v1,Grocery Store_v1,4165,24,109579
2024-02-09_v1,Online Shopping_v1,9894,598,100189
2024-02-12_v1,Flight Booking_v1,15492,-576,86344
2024-02-18_v1,Restaurant Dinner_v1,1418,-558,84056
2024-02-22_v1,Internet Bill_v1,1707,269,82395
2024-02-26_v1,Freelance Payment_v1,-13,19604,102096
2024-03-03_v1,Salary Credit_v1,760,54804,158319
2024-03-05_v1,Grocery Store_v1,3128,87,153453
2024-03-08_v1,Shopping Mall_v1,13247,99,140561
2024-03-11_v1,Taxi Ride_v1,935,-378,139559
2024-03-15_v1,Restaurant Dinner_v1,2161,-438,136898
2024-03-20_v1,Mobile Bill_v1,543,225,135101
2024-03-27_v1,Freelance Payment_v1,501,21647,157147
2024-04-03_v1,Salary Credit_v1,744,60457,218082
2024-04-05_v1,Grocery Store_v1,3524,785,214593
2024-04-09_v1,Online Shopping_v1,9950,-150,204460
2024-04-12_v1,Train Ticket_v1,2514,921,200638
2024-04-16_v1,Restaurant Dinner_v1,3657,231,199241
2024-04-20_v1,Electricity Bill_v1,2383,243,197225
2024-04-25_v1,Freelance Payment_v1,-215,25774,221319
2024-05-03_v1,Salary Credit_v1,-345,59224,281489
2024-05-06_v1,Grocery Store_v1,3570,511,277359
2024-05-09_v1,Shopping Mall_v1,13661,-951,264301
2024-05-13_v1,Taxi Ride_v1,1150,-704,262437
2024-05-18_v1,Restaurant Dinner_v1,3731,-636,259609
2024-05-22_v1,Internet Bill_v1,2255,70,258410
2024-05-28_v1,Freelance Payment_v1,-249,30979,288435
