date,description,debit,credit,balance
2024-01-03_v0,Salary Credit_v0,61,55502,55360
2024-01-05_v0,Grocery Store_v0,2435,888,51421
2024-01-08_v0,Restaurant Dinner_v0,2732,110,49883
2024-01-10_v0,Uber Ride_v0,1046,-859,49371
2024-01-15_v0,Shopping Mall_v0,6991,417,43340
2024-01-20_v0,Electricity Bill_v0,2005,31,39765
2024-01-25_v0,Freelance Payment_v0,-285,17319,58838
2024-01-28_v0,Movie Tickets_v0,1869,-171,56746
2024-02-03_v0,Salary Credit_v0,-153,55558,111575
2024-02-06_v0,Grocery Store_v0,3360,337,109541
2024-02-09_v0,Online Shopping_v0,8044,-487,101012
2024-02-12_v0,Flight Booking_v0,13629,920,86245
2024-02-18_v0,Restaurant Dinner_v0,3196,-684,84477
2024-02-22_v0,Internet Bill_v0,1807,-791,82656
2024-02-26_v0,Freelance Payment_v0,-251,20288,103039
2024-03-03_v0,Salary Credit_v0,-492,54728,157990
2024-03-05_v0,Grocery Store_v0,4014,677,153796
2024-03-08_v0,Shopping Mall_v0,12705,-373,142151
2024-03-11_v0,Taxi Ride_v0,1502,-569,140781
2024-03-15_v0,Restaurant Dinner_v0,2800,-367,137549
2024-03-20_v0,Mobile Bill_v0,1778,-544,136200
2024-03-27_v0,Freelance Payment_v0,-643,21542,158353
2024-04-03_v0,Salary Credit_v0,-86,60095,218455
2024-04-05_v0,Grocery Store_v0,3568,411,214330
2024-04-09_v0,Online Shopping_v0,9507,478,203505
2024-04-12_v0,Train Ticket_v0,2052,941,201483
2024-04-16_v0,Restaurant Dinner_v0,3214,585,198163
2024-04-20_v0,Electricity Bill_v0,1968,337,196145
2024-04-25_v0,Freelance Payment_v0,949,24515,221740
2024-05-03_v0,Salary Credit_v0,-602,59964,281198
2024-05-06_v0,Grocery Store_v0,3462,-208,277962
2024-05-09_v0,Shopping Mall_v0,13780,-503,263892
2024-05-13_v0,Taxi Ride_v0,1339,67,263152
2024-05-18_v0,Restaurant Dinner_v0,2901,612,259753
2024-05-22_v0,Internet Bill_v0,1153,50,258729
2024-05-28_v0,Freelance Payment_v0,527,30844,287801
2024-01-03_v1,Salary Credit_v1,111,54871,55718
2024-01-05_v1,Grocery Store_v1,4017,799,52688
2024-01-08_v1,Restaurant Dinner_v1,2791,837,49489
2024-01-10_v1,Uber Ride_v1,193,-36,49924
2024-01-15_v1,Shopping Mall_v1,6572,-431,42320
2024-01-20_v1,Electricity Bill_v1,1686,776,40972
2024-01-25_v1,Freelance Payment_v1,214,18532,58456
2024-01-28_v1,Movie Tickets_v1,1526,-790,56877
